Districts,Total_deaths,Men,Women
Barcelona - Ciutadella,708,347,361
Barcelona - Eixample,2669,1132,1537
Barcelona - Sants,1648,800,848
Barcelona - Palau Reial,763,357,406
Barcelona - Observ Fabra,1394,608,786
Barcelona - Gràcia,1183,538,645
Barcelona - Vall Hebron,1798,885,913
Barcelona - Poblenou,1639,805,834
